id,start_time,duration,type,match_id,perspective,stream_file,stream_timestamp,UTC_timestamp
JzgEm,12644,7146,match,8,P7,2018-03-04_P7.mp4,03:30:44,2018-03-04 17:14:05+00:00
y4enj,12644,7146,match,8,P8,2018-03-04_P8.mp4,03:30:44,2018-03-04 17:14:05+00:00
bFsCx,12644,7146,match,8,P9,2018-03-04_P9.mp4,03:30:44,2018-03-04 17:14:05+00:00
XZ4Bw,12644,7146,match,8,P12,2018-03-04_P12.mp4,03:30:44,2018-03-04 17:14:05+00:00
twvQU,12646,7146,match,8,P2,2018-03-04_P2.mp4,03:30:46,2018-03-04 17:14:06+00:00
qmM8J,12646,7146,match,8,P4,2018-03-04_P4.mp4,03:30:46,2018-03-04 17:14:06+00:00
zaG7F,12646,7146,match,8,P5,2018-03-04_P5.mp4,03:30:46,2018-03-04 17:14:07+00:00
3xz1y,8516,7146,match,8,P11,2018-03-04_P11.mp4,02:21:56,2018-03-04 17:14:15+00:00
1520187603006,16014,59,highlight,8,P2,2018-03-04_P2.mp4,04:26:54,2018-03-04 18:10:14+00:00
1520189074644,16642,66,highlight,8,P9,2018-03-04_P9.mp4,04:37:22,2018-03-04 18:20:43+00:00
1520188767071,13530,60,highlight,8,P11,2018-03-04_P11.mp4,03:45:30,2018-03-04 18:37:49+00:00
1520189659377,14438,40,highlight,8,P11,2018-03-04_P11.mp4,04:00:38,2018-03-04 18:52:57+00:00
1520190460595,15162,100,highlight,8,P11,2018-03-04_P11.mp4,04:12:42,2018-03-04 19:05:01+00:00
q4kbe,19792,4333,match,9,P3,2018-03-04_P3.mp4,05:29:52,2018-03-04 19:13:11+00:00
9GeR8,19792,4333,match,9,P6,2018-03-04_P6.mp4,05:29:52,2018-03-04 19:13:11+00:00
ip1hJ,19792,4333,match,9,P2,2018-03-04_P2.mp4,05:29:52,2018-03-04 19:13:12+00:00
co1j4,19792,4333,match,9,P4,2018-03-04_P4.mp4,05:29:52,2018-03-04 19:13:12+00:00
Vm9a4,19792,4333,match,9,P10,2018-03-04_P10.mp4,05:29:52,2018-03-04 19:13:12+00:00
22QVK,19794,4333,match,9,P1,2018-03-04_P1.mp4,05:29:54,2018-03-04 19:13:13+00:00
SDlQo,19792,4333,match,9,P5,2018-03-04_P5.mp4,05:29:52,2018-03-04 19:13:13+00:00
CB9B6,19792,4333,match,9,P7,2018-03-04_P7.mp4,05:29:52,2018-03-04 19:13:13+00:00
ua0PI,19792,4333,match,9,P8,2018-03-04_P8.mp4,05:29:52,2018-03-04 19:13:13+00:00
6q4aB,19792,4333,match,9,P9,2018-03-04_P9.mp4,05:29:52,2018-03-04 19:13:13+00:00
t7KXR,19792,4333,match,9,P12,2018-03-04_P12.mp4,05:29:52,2018-03-04 19:13:13+00:00
UWf6k,15662,4333,match,9,P11,2018-03-04_P11.mp4,04:21:02,2018-03-04 19:13:21+00:00
1520193779592,16924,38,highlight,9,P11,2018-03-04_P11.mp4,04:42:04,2018-03-04 19:34:23+00:00
1520195876901,17260,117,highlight,9,P11,2018-03-04_P11.mp4,04:47:40,2018-03-04 19:39:59+00:00
1520196026423,19260,71,highlight,9,P11,2018-03-04_P11.mp4,05:21:00,2018-03-04 20:13:19+00:00
1520194881947,19492,60,highlight,9,P11,2018-03-04_P11.mp4,05:24:52,2018-03-04 20:17:11+00:00
7oO6W,24126,4977,match,10,P3,2018-03-04_P3.mp4,06:42:06,2018-03-04 20:25:25+00:00
a9F83,24126,4977,match,10,P6,2018-03-04_P6.mp4,06:42:06,2018-03-04 20:25:25+00:00
sDGfr,24126,4977,match,10,P2,2018-03-04_P2.mp4,06:42:06,2018-03-04 20:25:26+00:00
U1ukb,24126,4977,match,10,P4,2018-03-04_P4.mp4,06:42:06,2018-03-04 20:25:26+00:00
h4c5r,24126,4977,match,10,P10,2018-03-04_P10.mp4,06:42:06,2018-03-04 20:25:26+00:00
Ej1N4,24128,4977,match,10,P1,2018-03-04_P1.mp4,06:42:08,2018-03-04 20:25:27+00:00
2qVf4,24126,4977,match,10,P5,2018-03-04_P5.mp4,06:42:06,2018-03-04 20:25:27+00:00
idvFj,24126,4977,match,10,P7,2018-03-04_P7.mp4,06:42:06,2018-03-04 20:25:27+00:00
zmZQW,24126,4977,match,10,P8,2018-03-04_P8.mp4,06:42:06,2018-03-04 20:25:27+00:00
oWNLP,24126,4977,match,10,P9,2018-03-04_P9.mp4,06:42:06,2018-03-04 20:25:27+00:00
uSGal,24126,4977,match,10,P12,2018-03-04_P12.mp4,06:42:06,2018-03-04 20:25:27+00:00
lJDgD,19994,4977,match,10,P11,2018-03-04_P11.mp4,05:33:14,2018-03-04 20:25:33+00:00
1520196508499,25330,32,highlight,10,P3,2018-03-04_P3.mp4,07:02:10,2018-03-04 20:45:29+00:00
1520196632196,21366,18,highlight,10,P11,2018-03-04_P11.mp4,05:56:06,2018-03-04 20:48:25+00:00
1520197520938,22254,32,highlight,10,P11,2018-03-04_P11.mp4,06:10:54,2018-03-04 21:03:13+00:00
1520197662851,22370,65,highlight,10,P11,2018-03-04_P11.mp4,06:12:50,2018-03-04 21:05:09+00:00
1520198085997,22802,78,highlight,10,P11,2018-03-04_P11.mp4,06:20:02,2018-03-04 21:12:21+00:00
1520198553628,23326,26,highlight,10,P11,2018-03-04_P11.mp4,06:28:46,2018-03-04 21:21:05+00:00
1520199560448,24318,34,highlight,10,P11,2018-03-04_P11.mp4,06:45:18,2018-03-04 21:37:37+00:00
1520199734731,24490,44,highlight,10,P11,2018-03-04_P11.mp4,06:48:10,2018-03-04 21:40:29+00:00
VJWNJ,29104,6193,match,11,P3,2018-03-04_P3.mp4,08:05:04,2018-03-04 21:48:23+00:00
5nNsS,29104,6193,match,11,P10,2018-03-04_P10.mp4,08:05:04,2018-03-04 21:48:24+00:00
52jKH,29106,6193,match,11,P1,2018-03-04_P1.mp4,08:05:06,2018-03-04 21:48:25+00:00
wUm7P,29106,6193,match,11,P6,2018-03-04_P6.mp4,08:05:06,2018-03-04 21:48:25+00:00
vRYsG,29104,6193,match,11,P7,2018-03-04_P7.mp4,08:05:04,2018-03-04 21:48:25+00:00
snThF,29104,6193,match,11,P8,2018-03-04_P8.mp4,08:05:04,2018-03-04 21:48:25+00:00
6qjHn,29104,6193,match,11,P9,2018-03-04_P9.mp4,08:05:04,2018-03-04 21:48:25+00:00
CTZuG,29104,6193,match,11,P12,2018-03-04_P12.mp4,08:05:04,2018-03-04 21:48:25+00:00
Y2NZ7,29106,6193,match,11,P2,2018-03-04_P2.mp4,08:05:06,2018-03-04 21:48:26+00:00
q8j0D,29106,6193,match,11,P4,2018-03-04_P4.mp4,08:05:06,2018-03-04 21:48:26+00:00
0WZAe,29106,6193,match,11,P5,2018-03-04_P5.mp4,08:05:06,2018-03-04 21:48:27+00:00
amV7G,24974,6193,match,11,P11,2018-03-04_P11.mp4,06:56:14,2018-03-04 21:48:33+00:00
1521118937260,25600,14,matth_start,11,P11,2018-03-04_P11.mp4,07:06:40,2018-03-04 21:58:59+00:00
1521118908146,25638,13,highlight,11,P11,2018-03-04_P11.mp4,07:07:18,2018-03-04 21:59:37+00:00
1520200994018,29842,31,highlight,11,P8,2018-03-04_P8.mp4,08:17:22,2018-03-04 22:00:43+00:00
1520202567427,27312,34,highlight,11,P11,2018-03-04_P11.mp4,07:35:12,2018-03-04 22:27:31+00:00
1520203013457,27786,24,highlight,11,P11,2018-03-04_P11.mp4,07:43:06,2018-03-04 22:35:25+00:00
1520203422507,28196,23,highlight,11,P11,2018-03-04_P11.mp4,07:49:56,2018-03-04 22:42:15+00:00
1520203577656,28282,77,highlight,11,P11,2018-03-04_P11.mp4,07:51:22,2018-03-04 22:43:41+00:00
1520203673549,28432,32,highlight,11,P11,2018-03-04_P11.mp4,07:53:52,2018-03-04 22:46:11+00:00
1520203889765,28624,30,highlight,11,P11,2018-03-04_P11.mp4,07:57:04,2018-03-04 22:49:23+00:00
1520203998804,28804,10,highlight,11,P11,2018-03-04_P11.mp4,08:00:04,2018-03-04 22:52:23+00:00
1520204290388,28964,102,highlight,11,P11,2018-03-04_P11.mp4,08:02:44,2018-03-04 22:55:03+00:00
1520204688675,29488,17,highlight,11,P11,2018-03-04_P11.mp4,08:11:28,2018-03-04 23:03:47+00:00
1520205017744,29726,32,highlight,11,P11,2018-03-04_P11.mp4,08:15:26,2018-03-04 23:07:45+00:00
1520205331348,29780,245,interview,11,P11,2018-03-04_P11.mp4,08:16:20,2018-03-04 23:08:39+00:00
1520205510629,30020,41,show,11,P11,2018-03-04_P11.mp4,08:20:20,2018-03-04 23:12:39+00:00
